,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
Diacritiques (incomplet),,,,,,P1 - PC,,P2 - SC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,∑,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Maon,Invariable,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃
2,Oncle/Tante,Titre,Invariable,Tanclɛ,Invariable,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl
3,Un/Une,Article indéfini,Invariable,Unɛ,Invariable,Une,yn,Une,yn,Une,yn,Un/Une,œ̃/yn,Une,yn
4,Général/Générale,Substantif,al/ale ,Généralɛ,alɛ,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal
5,Lui/Elle,Pronom personnel COI,Invariable,Ɛllui,Invariable,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi
6,Il/Elle,Pronom personnel sujet,Invariable,Iɛl,Invariable,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl
7,Humain/Humaine,Substantif,ain/aine,Humainɛ,ainɛ,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaineu,y.mɛn.ø,Humaine,y.mɛn
8,Fort/Forte,Substantif,ort/orte,Fortɛ,ortɛ,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt
9,Cet/Cette,Déterminant démonstratif,Invariable,Cettɛ,Invariable,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cetteu,sɛt.ø,Cette,sɛt
,,,,,,p1_pc_bbb-herthey-futural_epsilon_da,,p2_sc_bbb-herthey-futural_epsilon_da,,p4_eb_bbb-herthey-futural_epsilon_da,,p5_zm_bbb-herthey-futural_epsilon_da,,p6_nc_bbb-herthey-futural_epsilon_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,
1,Un/Une,Article indéfini,Invariable,Unɛ,Invariable,Une,yn,Une,yn,Une,yn,Unneu,œ̃n.ø,Une,yn
2,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissierɛ,ierɛ,Pâtissière ,pa.ti.sjɛʁ,Pâtissière ,pa.ti.sjɛʁ,Pâtissièreu ,pa.ti.sjɛʁ.ø,Pâtissièreu ,pa.ti.sjɛʁ.ø,Pâtissière ,pa.ti.sjɛʁ
3,Tapissier/Tapissière,Substantif,ier/ière,Tapissierɛ,ierɛ,Tapissière,ta.ti.sjɛʁ,Tapissière,ta.ti.sjɛʁ,Tapissièreu,ta.ti.sjɛʁ.ø,Tapissièreu,ta.ti.sjɛʁ.ø,Tapissière,ta.ti.sjɛʁ
